ym,Nivel general,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Prendas de vestir y calzado,"Vivienda, agua, electricidad y otros combustibles",Equipamiento y manteni-miento del hogar,Salud,Transporte,Comunicaciones,Recreación y cultura,Educación,Restaurantes y hoteles,Otros bienes y servicios,Estacional,Núcleo,Regulados,Bienes,Servicios
2021-07,100.661918591708,102.451956963377,101.864158299882,99.36688947509,101.797851457125,100.944725622674,101.048339980158,102.621074704592,102.295992448893,100.036207053646,102.85718398778,100.949880219278,100.908321958091,99.6659502271607,101.58992376747,102.468015105891,101.813057432334,100.828395774992
2021-08,103.146744631295,103.975655775493,103.921438580884,102.76023919955,102.967265473019,104.252591098137,105.288837297731,105.131045091814,101.689021325304,103.736027492655,107.215013145099,103.924629405048,104.242847711189,100.25208321817,104.771910635984,103.627371805858,104.366477553377,103.172790576083
2021-09,106.805140944111,107.041350163831,110.022633471058,108.958571374008,104.943613533743,107.882051799049,109.823313698895,108.329147090301,104.509120623788,107.64312584125,110.558196022205,108.156829607274,106.499903189061,106.627509319123,108.18970190772,106.692394467514,107.987159773707,107.024139548341
2021-10,110.560703241216,110.695287452292,112.441106710485,114.539270774744,107.583123139245,110.853488209091,115.021110577113,111.675041418735,105.6982339156,111.942560547387,112.097788359222,112.623089093543,110.067567940674,115.300226220177,111.652867723387,108.743893293048,111.862070183213,110.536843113034
2021-11,113.357297092707,113.043771897105,113.680734970714,119.240094391899,109.931721203378,113.849236757398,117.822419038938,114.128074646422,106.57133836445,113.582506190375,113.045517600779,118.231435120731,112.316031298553,115.890621272351,115.284641445389,109.868422227468,114.705936681175,113.241139613212
2021-12,117.710183640572,117.851875254545,119.791086316684,124.925264585182,112.250020396123,117.688129452361,118.410854415096,119.758915439497,108.54263991272,118.072310438937,114.177530838036,125.187630026054,115.88632206003,120.219381702624,120.383956422942,111.751743734684,119.136697771195,117.406633194616
2022-01,122.129374698315,123.643750936821,121.937165664157,127.964957042327,114.287277359979,121.589332918734,123.294575591476,123.032165074095,116.637760682818,123.045658983462,115.038669877532,132.347721028566,120.855722607983,130.976572463926,124.37900816886,114.828749413013,123.695481980348,122.150712339106
2022-02,127.529571798424,132.875278080108,125.182837934622,132.363263607614,117.544041222481,126.95749748908,127.779083771272,129.091719316493,118.360725761349,125.923285747316,118.106148028481,138.195829985145,126.098780914129,141.975859775582,129.931093577039,118.40724527289,130.502619698946,125.622749550323
2022-03,136.098820445655,142.543580636804,132.402843725113,146.537599761621,126.536755083991,132.529177274946,134.13728274753,136.156086003329,122.390990100978,130.113715730952,146.456210708861,145.734181143176,133.100220437949,150.795587400188,138.262608921455,128.394291119876,139.307043613858,134.013630628787
2022-04,143.878589303223,150.928661053989,136.802815974001,161.011987052418,132.331545801347,139.804166530638,142.680948940082,143.4361284845,126.863880212666,136.886804116639,151.903599870188,156.414830743399,140.106523754607,159.058614845575,147.526706548394,133.427060065675,148.276105842884,140.794532268459
2022-05,150.89736907194,157.588171346268,144.55309741304,170.332461163954,137.004347799853,147.269656006181,151.542613349714,152.148456036198,130.78801465527,144.017924678111,156.826646215834,165.227494825151,146.508063255658,164.455592980905,155.193031249939,140.969921342769,156.20191102488,146.83219972756
2022-06,158.659232666163,164.875780574023,154.254068901651,180.147934810368,146.285913352816,156.074787529372,162.791038385838,159.295538742252,131.298322250817,150.253516182062,160.011166970566,175.555439654009,153.885106671712,175.287882730193,163.084499728711,148.387035683836,164.259591369153,154.952255446314
2022-07,170.10017015412,174.821141993317,164.156825513865,195.584709839862,152.979924273574,172.177345166338,173.901080689515,168.004172151988,138.579710989454,169.927906223297,169.59671813339,192.745187569368,166.312940734301,195.09075522772,175.04136923757,155.70673481245,176.285411610793,166.567260104521
2022-08,181.482807826076,187.20931310371,175.6732176111,214.78144998994,161.400254223087,186.650375413288,183.892650484358,179.495530135849,144.246462796062,178.604585085229,178.25602116123,205.546238089184,180.658145926319,212.064355434977,186.941696051973,165.458198659367,189.373347139346,176.148120378774
2022-09,191.903594943371,199.812052076979,192.23358791035,237.490800648539,166.406600542037,197.956946757262,191.861530964867,189.96297781916,147.853578788341,187.982134814581,184.762208588071,215.561074815853,192.900788803998,236.910546973218,197.243396795357,172.986455606203,202.572775941885,183.510348032812
2022-10,204.313300835098,212.195708932354,202.669708707821,253.678576141181,178.789251677827,207.760734465872,205.506720429644,198.456412774753,165.702032787206,198.602785342003,197.339910530614,231.552051748769,204.916594600885,258.369429360572,208.213918843903,185.794818071084,214.568495740299,197.131637356038
2022-11,215.021911415379,219.644045283262,215.515134482797,265.114394160427,194.105795214422,219.006356779198,213.8791961956,210.600298836219,176.247444013845,206.929138733689,204.784050713416,244.316058904857,216.913450987389,269.018051439716,218.108803738268,197.369672747553,224.283106599358,208.629932575853
